2,1,2.0,2,2,2,1,1,1,1,1,1,1.0,1,1,1,0,0,1,2,1,2.0,2,2,1.5,2,1.25,1.5,1,2.0,2,2.0,2.0,2,2,2,3,2.0,2.0,2,2
2,2,2,2,2,1.0,1,1,1,1,1,1,1,1,1,0,0,1,1.0,1,1,2.25,2.25,2.5,2,2.25,3,1.5,2,1,2.0,2,2.0,2,2,2.5,2,3,2.0,2,2
2,2,2,2.0,2,2,1,1,1,1,1.0,1,1,1,1,1,0,0,1,1,1,2.25,2.5,2,2.5,3,1.5,2,1,2.0,2,2,2,2.25,2,2.5,2.5,2.5,3,2,3
2,1,2.0,2,2,2,1,1,1,1.0,1,1,1,1,1,1,0,0,1,1,1,2.0,2.0,2.0,2.0,2,2.0,2.0,2,1.5,2,1,2,2,2,2.5,2,3,2.0,2,2
2,1,2,2,1.5,2,1,1,1,1.0,1,1,1,1,1,1,0,0,1,2,1,2.0,2.0,2.0,2,2,2,1,2.0,2.0,2.0,2.0,2,2.0,2,2,2,2.5,3,2,2
2,1,2,2,2,1.0,1,1,1,1,1,1,1,1,1,0,0,1.0,1,1,1,1.9375,2,1.875,2,1.75,2,1.5,1,2.0,2,2,2,2,2.875,2.75,3,2.25,2.5,2,3
2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,0.0,0,0,1,1,1,2,2,2,1.5625,1,2.125,2.125,2,2.25,2.25,2,2.5,2,3.0,3,3,2.0,2,2,1
2,1.5,1,2,2,2,1,1,1,1.0,1,1,1,1,1,1,0,0,1,2,1,2.0,2.0,2,2.0,2.0,2,1.75,1.5,2,1,1,2.0,2.0,2,2,2,3,2.0,2,2
2,1,2,2,2,1,1,1.0,1,1,1,1,1,1.0,1,1,0,0,1,1,1,2.0,2.0,2,2.0,2,2,1,2,2.0,2.0,2,2.0,2,2.5,2,3,1.5,1.5,2,1
2,1,2,2,1.5,2,1,1,1.0,1,1,1,1,1,1,1,0,0,1,1,1,2,2,1.5,2,1,2.0,2.0,2.0,2,2.0,2.0,2.0,2.0,2,2.0,2,2,3,2,2
2,1,2,2,2.0,2.0,2,1,1,1,1,1,1,1,1,1.0,2,0,1,1,1,2,2,3,1.5,2.0,1,3.0,3,3,3,3.0,3,3,3.0,3,3,2,2.0,2,2
2,1.5,2,2,2,2,2.0,1,1.0,1,1,1,1,1,1.0,2,0,1,1,1,2,3.0,2,4,3,1,3.0,3.0,3,3.0,3,3.0,3,3,3.0,3,3,3,2,2,2
2,1,2,2.0,2.0,2.0,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,2,2,3,2.0,2.0,1,3.0,3,3,3,3.0,3,3,3,2.5,3,2,2.0,2,2
2,1,2,2,2,2,2,2,2,1,1,1,1,1,1.0,1.0,1,2,1,1,1.0,2,2,2.0,3,1,3,3,3.0,3.0,3,3,3.0,3,3.0,3,3,2.0,2,2,2
2,1,2,2,2,2.0,2,1.5,1,1,1,1,1.0,1,1,1,2,0,1,1,1,2,2,3,1,3,3,3.0,3,3,3,3.0,3.0,3.0,3,3,2.0,2,2.0,2,2
2,1.5,2,2,2,2,2,1.5,1.0,1,1,1,1,1,1,1,2,0,1,1,1,2,2,3,1,3,3.0,3,3.0,3,3,3,3.0,3.0,3,3,2,2.0,2.0,2,2
